CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
DAÑOS,01/13/2022 12:00:00 AM,"2,022",1899-12-31T15:45:00.000,TARDE,JUEVES,SANTA BARBARA,CARRERA 35 CALLE 31-42,URBANA,TECNICO,3.52903,-76.30572,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,34,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/13/2022 12:00:00 AM,"2,022",1899-12-31T15:45:00.000,TARDE,JUEVES,SANTA BARBARA,CARRERA 35 CALLE 31-42,URBANA,TECNICO,3.52903,-76.30572,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,55,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/13/2022 12:00:00 AM,"2,022",1899-12-31T15:45:00.000,TARDE,JUEVES,SANTA BARBARA,CARRERA 35 CALLE 31-42,URBANA,TECNICO,3.52903,-76.30572,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,53,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/15/2022 12:00:00 AM,"2,022",1899-12-31T13:20:00.000,TARDE,SABADO,BENEDICTA,CALE 47 CARRERA 34,URBANA,TECNICO,3.54244,-76.30188,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,19,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/15/2022 12:00:00 AM,"2,022",1899-12-31T13:20:00.000,TARDE,SABADO,BENEDICTA,CALE 47 CARRERA 34,URBANA,TECNICO,3.54244,-76.30188,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,27,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/18/2022 12:00:00 AM,"2,022",1899-12-31T22:20:00.000,NOCHE,MARTES,PRADO,CALLE 42 CARRERA 41-69,URBANA,TECNICO,3.53882,-76.31134,PERDIDA DEL CONTROL DEL VEHICULO,157,NO APLICA,CHOQUE,47,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/24/2022 12:00:00 AM,"2,022",1899-12-31T13:07:00.000,TARDE,LUNES,RECREO,CALLE 22 CARRERA 26,URBANA,TECNICO,3.52005,-76.29834,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,56,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/24/2022 12:00:00 AM,"2,022",1899-12-31T13:07:00.000,TARDE,LUNES,RECREO,CALLE 22 CARRERA 26,URBANA,TECNICO,3.52005,-76.29834,DESOBEDECER SEÑAL DE PARE,112,NO APLICA,CHOQUE,61,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/17/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,TARDE,LUNES,PRADO,CALLE 42 CARRERA 40,URBANA,TECNICO,3.53893,-76.31066,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,34,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/17/2022 12:00:00 AM,"2,022",1899-12-31T15:30:00.000,TARDE,LUNES,PRADO,CALLE 42 CARRERA 40,URBANA,TECNICO,3.53893,-76.31066,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,51,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T07:20:00.000,MAÑANA,MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35 SUR,URBANA,TECNICO,3.53873,-76.30614,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,32,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T07:20:00.000,MAÑANA,MIERCOLES,INDUSTRIAL,CALLE 42 CARRERA 35 SUR,URBANA,TECNICO,3.53873,-76.30614,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,38,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/19/2022 12:00:00 AM,"2,022",1899-12-31T12:00:00.000,TARDE,MIERCOLES,CENTRO,CARRERA 26 CALLE 32-10,URBANA,TECNICO,3.52852,-76.29691,NO MANTENER DISTANCIA SEGURIDAD,121,NO APLICA,CHOQUE,57,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
